TCB-11202-A,558,1,11685,100,1,1200,,,,,,,,13543
TCB-10715-R,1845,9,1283,0,0,0,,,,,,1420,,3128
TCB-10980-S,2460,12,2984,450,3,300,3000,,,,,1930,,9194
TCB-11213-A,410,2,28750,150,1,800,,,,,,1540,,30110
TCB-11230-A,1845,9,25948,300,2,2400,,,,,,,,30493
TCB-11235-A,4305,21,17344,150,1,1000,,,,,,1630,,22799
TCB-11228-A,1230,6,2961,150,1,1000,,,,,,1617,,5341
TCB-11250-A,820,4,25657,300,2,1800,,,,,,2670,,28577
TCB-11201-A,615,3,3819,150,1,400,,,,,,4000,,4984
TCB-11227-A,1176,2,34332,300,2,2400,3308,,,,,1530,,41516
TCB-11251-A,2940,5,6827,300,2,3200,,,,,12400,,,25667
TCB-11188-A,205,1,18691,150,1,1600,,,,,,,,20646
TCB-11247-A,615,3,3339,150,1,800,,,,,,13400,,4904
TCB-10794-A,11048,24,53000,300,2,2400,,,,,,,,66748
TCB-10833-A,820,4,5546,150,1,500,,,,750,,1230,,7766
TCB-11072-A,1000,1,5240,150,1,800,,,,,,1110,,7190
TCB-11193-A,615,3,13449,450,3,4200,,,,,,,,18714
TCB-11239-A,410,2,2153,150,1,1000,,,,,,1440,,3713
TCB-11223-A,5375,5,35727,150,1,600,,,,,,,,41852
TCB-11264-A,1585,4,10847,300,2,2000,3126,300,,,,,,18158
TCB-11272-A,205,1,22967,150,1,1200,,,,,,2670,,24522
TCB-11209-A,585,1,24326,450,3,5600,,,,,,2671,,30961
TCB-11257-A,1025,5,12008,150,1,500,842,,,,,5000,,14525
TCB-11244-A,205,1,29943,300,2,3600,1000,1748,,500,,15700,,37296
TCB-11286-A,820,4,5588,150,1,600,,,,,,,,7158
TCB-11263-A,205,1,9863,150,1,1200,,,,,,,,11418
TCB-11238-A,2460,12,239819,300,1,1600,,,,,,700,,244179
TCB-11281-A,205,1,1531,150,1,1000,,,,,,,,2886
TCB-11135-A,1764,3,8498,150,1,800,,,,,,,,11212
TCB-11271-S,1176,1,2977,150,1,1400,,,,,,,,5703
TCB-11255-A,820,4,2909,150,1,600,,,,,,1400,,4479
TCB-11261-A,615,3,59164,450,3,3400,330,,,750,,2650,,64709
TCB-11252-A,205,1,7697,150,1,1000,,,,,,3250,,9052
TCB-11194-A,7525,7,16939,150,1,2400,,,16000,,,,,43014
TCB-11153-A,1640,8,3011,300,2,2200,,,,,,2670,,7151
TCB-11256-A,8214,9,84197,600,4,8600,,,20000,,59340,11475,,180951
TCB-10443-A,820,4,9595,300,2,1600,1182,,,,,2187,,13497
TCB-11268-A,205,1,10570,300,2,3400,,,,,13248,,,27723
TCB-11278-A,1640,5,5359,150,1,600,,,,1500,,2650,,9249
TCB-11304-A,820,4,11360,150,1,900,,,,,,,,13230
TCB-11267-A,1025,1,113166,150,1,800,,,,,,,,115141
TCB-11270-A,557,1,5359,150,1,1600,2104,300,,500,,2641,,10570
TCB-11300-A,588,1,1276,150,1,400,,,,,,,,2414
TCB-11307-A,410,2,1794,300,2,1600,,,,,,,,4104
TCB-11260-A,588,1,47917.25806,150,1,1200,,,,,,,,49855
TCB-10987-A,8214,9,107974,150,1,1000,5093,1310,,,,,,123741
TCB-10046-P,4100,20,15312,600,4,5500,,,,,,36400,,25512
TCB-11285-A,1176,2,70903,150,1,1200,,,,1150,,10800,,74579
TCB-11310-A,588,1,8156,150,1,1000,1265,11452,,500,,3600,,23111
TCB-11245-A,205,1,15986,150,1,2400,,,,,15525,,,34266
TCB-11312-A,2940,5,8217,150,1,1200,,,,,,,,12507
TCB-11028-R,1025,5,2381.806452,150,1,800,,,,,,,,4357
TCB-11311-A,1230,6,6104.229677,150,1,500,663,,,,,,,8647
